tweet,datetime
First 1000 Solana wallets gets a guaranteed $DOLLY Airdrop 🪂  Drop your $SOL address 👇🏻  💟 & 🔁 + Follow 🔔  Check your wallet in 24 hours  #solana #BTC #memecoin #Airdrop,2024-07-06T23:45:44Z
"Crypto thieves. Feel free to hit them up on behalf of all the thousands of dollars they’ve stolen from honest, everyday people and the black eye they put on the space….    We put evil in its place around here.  #cryptoscam #Solana #memecoin",2024-07-06T23:45:20Z
$DYOR @BookOfDYOR is on sale rn!! Grab a bag before we 🚀 up again #BookofDYOR #memecoin,2024-07-06T23:45:13Z
"that celebrated 1,000,000 members not so long ago, to the largest Telegram channel ever!  💛 It's all thanks to you! Thanks to your participation & support! Thank you so much!  #Hamster  #Kombat  d Great   #Milestone #ThankYou #OnwardAndUpward #crypto #btc #memetoken #memecoin",2024-07-06T23:45:09Z
Did you know?  Cats can actually make you rich! 💰 A study shows cat owners are more likely to invest in crypto. 🐈‍⬛ #bobcat #memecoin #solana,2024-07-06T23:45:03Z
Fundraise for your social responsibility project or request funding for your brilliant startup idea. $prsct @solana   #Crypto #CryptoGems #gem #sol #MEMECOİN #launch #games #Solana #airdrop,2024-07-06T23:45:00Z
"@MonionSol $MONI is flying high! Let’s go! 🚀 #MONI, #SOL, #memecoin",2024-07-06T23:44:51Z
Brett (ETH) is pushing the gains today with a current increase of 36.14% in the past 24 hours on    Trade @brettcoinonerc on #GroveX:   #Brett #Bretter #Crypto #Eth #MemeCoin #CryptoTrading,2024-07-06T23:44:40Z
Don’t focus on the sells! Focus on who is selling! Let them buy back at 500k!! The team ain’t selling a thing! @ton_blockchain  we are here to stay baby! #TONCHAIN #memecoin #jeetsout,2024-07-06T23:44:33Z
💳 Early alpha  Cost : $0 Potential: $6000 - $10000  Ton released 2 alpha  📌Snapster (listing on august)   📌 Tonstation   #HAMSTERKOMBAT #dailycipher #combocards #Tapswap #Pixelversecombo $Memefi #chaincrop #Memecoin $Gemz,2024-07-06T23:44:21Z
"@monigurdians @gotbit_io $MONI to the moon 🌙 #MONI, #SOL, #memecoin",2024-07-06T23:43:52Z
CFB freestyle raps! 🚀  $CFB ON $Qubic #Memecoin #cryptocurrency #cryptocurrencymining @c_f_b_token ALL AT ONCE !!💰💰👀👀 @CryptoDeighs managed #Qubic #CFB sold on @safetradeex #crypto #AGI #Al Best community ever! ױ Q u b i c ױ Join the discord,2024-07-06T23:42:20Z
"@ianheinischmma LFG $MONI 🚀 #MONI, #SOL, #memecoin",2024-07-06T23:42:10Z
My bank account            My crypto wallet  #Crypto #Bitcoin #memecoin,2024-07-06T23:36:51Z
Plans for the launch of $PRENDY are currently being developed.   Expect more information about this exciting event as detailed updates are prepared for release.  #memecoin #Solana,2024-07-06T23:36:26Z
Day 32  Wen listing $ROAR @RoaringKitty_22?   🫡  0xd8c978de79e12728e38aa952a6cb4166f891790f    #GME #MemecoinToTheMoon #MemeCoinMania #RoaringKitty #memearmy #Memecoin2024 #MemeCoin #MemecoinSeason2024 #CatSeason   @cryptocom @binance @coinbase @okx,2024-07-06T23:34:03Z
"To all my followers, please be careful. These people are scammers. Never buy into presale, you will never see your money again. PLEASE repost this so that we can protect everyone from losing money. #shitcoins #memecoin",2024-07-06T23:33:45Z
Better ROI is with $britt folks! We are a CTO and will moon with the community and narrative we have! Load up now!   Tg:  X: @BrittbaseCTO   CA  0x3b1228c3ede7e0898d57054cd9b8f812d24315c1 #memecoin #crypto #basechain,2024-07-06T23:31:12Z
Better ROI is with $britt folks! We are a CTO and will moon with the community and narrative we have! Load up now!   Tg:  X: @BrittbaseCTO   CA  0x3b1228c3ede7e0898d57054cd9b8f812d24315c1 #memecoin #crypto #basechain,2024-07-06T23:30:28Z
"@NigelSalter9 Yo, $BUMPY is pushing a CTO, previous team was farming it, but the new one is sending it to the moon🚀 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀 Tg-  🟢🟢🟢🟢🟢🟢🟢🟢🟢  Ca- 45PfAFkRYNAE8fHDrjPZAFJBNQXB9HZjQiiKzVZbpump @bumpy_sol  #memecoin #Solana $SOL #cryptomarket",2024-07-06T23:29:47Z
@MonstersCoins $OWY turn   #memecoin,2024-07-06T23:29:17Z
@OnlyDonkeeonSol is holding a 1 mill market cap strong after 9 days!! Join this amazing community #memecoin #memecoinonsolana #Solanamecoin #SolanaCommunity,2024-07-06T23:26:56Z
Get the preferred #Crypto #AI #Memecoin $JFIVE,2024-07-06T23:26:53Z
🌅 Big Surprise #Sunwaves airdrop  Start claiming once  every 24 hours Join the team👇🏻 Use code for ×7 : Nonilud  Join here:   Its Coming!!!  #HAMSTERKOMBAT #dailycipher #combocards #Tapswap #Pixelversecombo $Memefi #chaincrop #memecoin #Gemz,2024-07-06T23:26:31Z
I'm getting bored 🥱   Tell me which #memecoin I should go all in now 😏🫵,2024-07-06T23:25:50Z
@nameisproh @STICKMANPRIDE doesn't sleep.  Worldwide project getting $STICKY with it.  Not just a #memecoin Volume Bot has been released. More utilities coming  #solana #memecoin #Bullrun2024,2024-07-06T23:25:48Z
I like $Zlurp  0xef7be3c8eeed4767083e8047d42fd181beafc92d  @zlurpeexyz #memecoin #ETH,2024-07-06T23:25:16Z
"@99ogcallz Yo, $BUMPY is pushing a CTO, previous team was farming it, but the new one is sending it to the moon🚀 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀 Tg-  🟢🟢🟢🟢🟢🟢🟢🟢🟢  Ca- 45PfAFkRYNAE8fHDrjPZAFJBNQXB9HZjQiiKzVZbpump @bumpy_sol  #memecoin #Solana $SOL #cryptomarket",2024-07-06T23:24:36Z
Doubt is futile. Embrace both success and failure progress on the path 📈📉🚀  #MotivationMonday #Inspiration  #Goals  #Success  #DreamBig  #Ambition #Hustle #NeverGiveUp #MotivationalQuotes  #Mindset  #presale #memecoin #crypto #polygon #minting #mintingnow #airdrop #farming,2024-07-06T23:24:15Z
@elonmusk a must own #AI #memecoin   $TURBO,2024-07-06T23:23:34Z
"#Flokita is a community-driven decentralized meme token with a dedicated team, CG/CMC application Website:  Pancakeswap:  43ZZSX  #cryptomarket #stocks #Newlisting #cmc #memecoin",2024-07-06T23:23:24Z
🚨  is closing the doors 🚨  But a new launchpad for degens is about to roll out.  👀  #pumpdotfun #solana #memecoin #launchpad #dexcsreener #moonshot #game.com #bazinga #solanadegens,2024-07-06T23:22:29Z
Let's gooo!!!🤯🤯  Free alpha group giving it's best.   If you Don't want to miss another chance so join this free alpha disckrd group as soon as possible.  #Bitcoin #Solana #memecoin #Degen #FREE #ALPHA #group #discord #ETH #blockchains,2024-07-06T23:21:44Z
Predictions UTC: $BTC 🔻$57976.19🔻-0.13% @  23:40:59 $ETH 🔻$3061.09🔻-0.07% @  00:16:28 $DOGE 🟢$0.11331🟢+0.15% @  00:05:55 $PEPE 🟢$0.00001020🟢+4.51% @  00:05:50 $SHIB 🔻$0.00001711🔻-0.87% @  00:14:38  #quant #crypto #bitcoin #ethereum #memecoin,2024-07-06T23:20:41Z
@ElonMuskPDA I WANT YOU TO BE $LUCY ARMY  @Lucy_solana   #Lucy #solana #memecoin,2024-07-06T23:20:41Z
@wolvecoin YEaaaa $wolve #memecoin,2024-07-06T23:19:57Z
"#Bitcoin gearing up for liftoff. Stay focussed, don't get all doom and gloom on me now! Best is yet to come and right around the corner. $STONKS will fly . #BTC #ETH #memecoin #stonks #study #vindiesel #wolfofwallstreet #beachcum",2024-07-06T23:19:35Z
🎩🃏 Looks like Hover Dog's been hiding an ace up his sleeve! #Solana #memecoin #SOL #HOVER #memefi #AirdropGiveaway #BlockchainGaming,2024-07-06T23:19:19Z
Don’t miss your chance to be part of this revolutionary journey. Invest in $K0BRADAG today and watch your potential gains soar!  @k0bracurrency  #memecoin #cryptocurrency #K0bracurrency #KODA #meme,2024-07-06T23:19:06Z
#KUCOIN #USTD #BTC #ETH #memecoin  #仮想通貨 新規口座開設でボーナスをゲットしよう！,2024-07-06T23:18:02Z
Quietudes silent🌬️🕯️  Twinkle-sparkle exhudes strong 💪💛🪄  Paradiso found🐚🏖️🐚  $LUV ❤️‍🔥  👉  #Love #Poetry #crypto #haiku #memecoinsol #memecoin #altcoin #cryptocurrency #CryptoCommunity #CryptoTwitter #SolanaMemecoin #LUV #memecoins #memecoinonsolana,2024-07-06T23:17:31Z
#MEXC #USTD #BTC #ETH #memecoin  新規口座開設でボーナスをゲットしよう！,2024-07-06T23:17:11Z
#Bybit アカウントに登録してBybit紹介プログラムの限定特典を受け取ろう！ さらに、 USDTのボーナスがもらえます。 #Bitcoin #USDT #Ethereum #memecoin  #仮想通貨,2024-07-06T23:16:57Z
My behaviour to crypto enemies as #memecoin   $Wolve will be biggest memecoin ever not just in #Solana,2024-07-06T23:16:51Z
🌿 Big news! We're launching an eco-friendly memecoin with a real impact. Each token will contribute to protecting our planet 🌳. Join us to blend fun and ecology! #Crypto #EcoFriendly #Memecoin #ProtectThePlanet  Stay tuned for more details! 🌍💚,2024-07-06T23:15:45Z
Friend: What's your investment portfolio like? Me: Mostly memes.  #Pencho #memecoin,2024-07-06T23:15:00Z
先占茅坑的好处 关于现在市面上所有 #memecoin 的玩法 我都已经拿捏了。。 从0到1  从细到粗  从小到大  从软到硬  剩下就是筹码多少 挣多挣少的事了。。。、 #btc,2024-07-06T23:14:37Z
@kennethvillagr4 @CardanoBrett Finally a #memecoin where no shilling but serious #crypto accounts were posting on X from day one. Then all the different #discord announcements done by real projects.  It has everything you need for a new $pepe. And #basememecoins folks are welcome to double dip 💰🚀  #AltCoins,2024-07-06T23:11:45Z
😻🐱  Wanna snag some sweet $BOBCAT? 🤑   Get in on the #airdrop before it's too late!   🚀  Join the #memecoin revolution on #Solana!   Visit 👉   #bobcat,2024-07-06T23:10:04Z
Flappy $BIRD #memecoin website has been updated,2024-07-06T23:09:15Z
@0xToranaga @HTX_Global @wolvecoin Tell Justin  to watch  $wolve #memecoin :),2024-07-06T23:08:24Z
完了 牛市好像真的要回来了 等大饼fomo一波再探底一次 直接飞 我也好像马上暴富了 我看很多前辈们的注意力 都开始转向 #memecoin 了 漂亮！终于要翻身了吗？！ #btc,2024-07-06T23:08:10Z
Let's talk about the next Big thing in crypto.   Bring your ideas and let's hear them!    #bitcoin #btc #crypto #CryptoTwitter #memecoin,2024-07-06T23:08:09Z
@justmikev2 @wallstreetbets Send this Asian Alpha straight to @binance  🇨🇳   $BIAO @biaoerc20  0x9Fd9278f04f01c6a39a9d1c1CD79f7782C6ADe08 #MemeRevolution #memecoin #ETHMemeCoin  #meme #crypto #airdrop #MEMECOİNS #TrustWalletExtension #chinabtc #chinesecrypto #Altseason #Altseason2024,2024-07-06T23:07:17Z
@HTX_Global Watch @wolvecoin  - He is running :) #memecoin #solana,2024-07-06T23:06:38Z
@wallstreetbets @TOADZONBASE  to the moon🚀🚀🏦🐸 #crypto #cryptocurrency #Bitcoin #base #Solana #memecoin,2024-07-06T23:06:35Z
@Monkey_Shit_inu @dasumk42 @RafaXCHB @Lapis6272 @moldeg79444 DONE AND DUSTED @Pablo_cro CAME THROUGH AGAIN AND OVER DELIVERED ADD AN EXTRA WINNER TO THE CONTEST . OUR DEV IS ALWAY WORKING #SHITCARDS #MSI #SHITONEVERYTHING #memecoin #MemeCoinMadness,2024-07-06T23:05:58Z
Pinky is all about fun in the sun and growing that crypto portfolio! ☀️💸 @DaCryptoGems @Memecoin_daily @CryptoThro @ProTheDoge  📝CA: BCaaqakbJZdrpD84SpU7fRe6CnygXeuMbD9is1E5YYJQ   #Pinky #pinkycoinsol #defi #solanameme #memecoin #1000x #SOL #solanamemcoin #pinkycoinsolana,2024-07-06T23:05:00Z
"Why did Sir Nr. 211 always bring a drum to the crypto market? Because he knew the best way to ""two-one-one"" his investments was to beat the market!  #memecoin #altcoin #NFT $gem #sircoin $Sir",2024-07-06T23:04:30Z
Exploring the Innovative Staking Mechanism of Baby PengolinCoin (BPGOK) on the Klever Blockchain  #Klever #KleverChain #Crypto #Cryptocurrency #memecoin,2024-07-06T23:03:36Z
After further analysis it appears that $relax dev team made to 12000 $ USD by selling tokens via different accounts. Here is top 5 and #solscan snippet for one of the account  #sol #relax #memecoin #dexscanner  5XomBcrb4p1hrMp17sFg4PMykdn2dSWBA5RNcnEwYKus,2024-07-06T23:03:18Z
#Milestone #ThankYou #OnwardAndUpward #crypto #btc #memetoken #memecoin #hamster #hamsterkombat #taptap #clicker #game #p2e,2024-07-06T23:03:16Z
"@XelaOff_ @wallstreetbets The parallels between #ToadKiller and #Shib's journeys are uncanny. From underdog to sensation, are we looking at a repeat performance? 📈 #ToadKiller #ToadArmy #SHIBArmy #memecoin $TOAD",2024-07-06T23:02:58Z
"$BUSK, new #memecoin gem on @base? 🤔",2024-07-06T23:01:24Z
"@nameisproh $JESUS coin. The community has even started a third crusades for their coin...members don crusader helmets and make hilarious videos. Based community. Check the liquidity/MC ratio...it's unreal, way better than any other #memecoin that I've come across.",2024-07-06T23:01:01Z
$Turbo 🚀🚩✌🏻🚀🚀 #MOON #ElonMusk #X #memecoin #cryptocurrency #top #one  #Racing #F1,2024-07-06T23:00:16Z
A beautiful break of resistance and retest seen on $RUBIO chart! 125k MC being the new floor. Will $RUBIO break the 200k ATH?! Ape in!!🚀  CA: 0x988F10193d3e88315E45D6C4356f2B9e357996f5  #trump #maga #crypto #memecoin #x1000 #usa #ethereum #1000xgems #crypto #altcoin $TRUMP $MAGA,2024-07-06T23:00:01Z
the dark night #memecoin #memecoinsol #memecoin1000x #MemeCoinSeason2024,2024-07-06T23:00:00Z
"@MonionSol Time to buy more $MONI #MONI, #SOL, #memecoin",2024-07-06T22:59:46Z
"@cb_doge Gamer can be an individual or a group, and it's also a symbol of spirit.  Let's all get behind X streaming together.🥰 $Gamer #memecoin",2024-07-06T22:59:37Z
"@monigurdians @gotbit_io $Moni The money maker $MONI #MONI, #SOL, #memecoin",2024-07-06T22:59:05Z
"@elonmusk @cb_doge Gamer can be an individual or a group, and it's also a symbol of spirit.  Let's all get behind X streaming together.🥰 $Gamer #memecoin",2024-07-06T22:58:55Z
@0xToranaga @HTXCommunity $wolve gonna be baddass #memecoin,2024-07-06T22:58:44Z
@JakeGagain $NOGWAI #mattfurie #memecoin,2024-07-06T22:58:42Z
$LOUIE  Another win here 😘 x2.5 since my call. From 80k to 190k (ath)  How you can still fade the Pimp? 9/11 winning calls until now ladies. I told y'all... IYKYK 🎩  #sol #solana #crypto #meme #memecoin,2024-07-06T22:58:19Z
"@ianheinischmma Time to buy $Moni before it's too late $MONI #MONI, #SOL, #memecoin",2024-07-06T22:58:15Z
"@Mohammad101209 The prophet $MONI hailing to the top #MONI, #SOL, #memecoin",2024-07-06T22:57:23Z
#BEAT has a vision.  He is the last one standing.  Everything relies on him.  $BEAT is set to make history. Let's make the last the most epic one!❤️ #solana #memecoin,2024-07-06T22:57:06Z
"@1000xgirl I will fall out of your life like a star, all you have to do is make a wish behind us #Awebotoken $AWEBO #Gem #memecoin #HOLD",2024-07-06T22:57:03Z
Pixel verse Daily Combo  06:07:2024 #pixelverse #crypto #ton #memecoin #notcoin,2024-07-06T22:56:39Z
"@monigurdians @gotbit_io $MONI is taking us to new frontiers! 🌌  $MONI #MONI, #SOL, #memecoin",2024-07-06T22:56:23Z
#MuskEmpire  💰AIRDROP  🚀TOKEN WILL BE LAUNCHED ON TON  The number of tokens you receive in the airdrop depends on: 1️⃣ PPH 2️⃣ Coin Balance 3️⃣The number of friends you’ve invited  Link to join:   #MuskEmpire #Musk #HamsterKombat #TAPSWAP #memecoin,2024-07-06T22:56:12Z
Transfer 0.001SOL to 👉🏿H4aXjyZ16WSN4g4F1bCdHotiGekYo2caqNT5M4GSgpNc👈🏿  And wait for a surprise 🤏🏿  Huge #airdropcampaign #Solana #Sol #memecoin,2024-07-06T22:56:05Z
Best #MEMECOIN To Buy Right Now That Will 10x Easy In July ?! 💎📈🌛,2024-07-05T23:59:59Z
@ralphscall Hey pal ZOGGED here pick up your phone.   You left your sandals at my house  Thanks bring some beers over.   Community is strong asf!    @ZoggedPepe_   F2zR4EarEGZ4LFzxbWTGxGh1QoyHvMQwiGjidv7mZ1hV  #zoggedhistorylesson #solana #memecoin #meme #zogged,2024-07-05T23:59:46Z
Current Price of $MCOIN  (MCOIN-USD) : $0.000006083  Buy MCoin on Moonshot :    #memecoin #solana #bitcoin,2024-07-05T23:59:18Z
@binance Give me info about the next #memecoin to be listed  #BinanceTurns7.,2024-07-05T23:57:53Z
Hilarious awkward  meme on base  AWK   L+RT #based #meme  #basechain #based #memecoin,2024-07-05T23:57:08Z
@elonmusk Those who jeet $KENDU are JEETERS and will wet the bed when we crack $100B market cap  #memecoin  @KenduInu,2024-07-05T23:54:43Z
@realmartymar #cardano #memecoin $martin 💥,2024-07-05T23:54:21Z
BUSAI PUMP IT UP! BUSAI #Memecoin #Panda #Solana #Meme #Crypto   via @YouTube,2024-07-05T23:52:23Z
"Finally an all-in-one inclusive tool for #degens - @KairosTerminal 🧑🏻‍💻!  Find Onchain alphas faster and make life-changing decisions in real time with #KairosTerminal 🌐  Built by Degens, For Degens!  Need a $5k #airdrop or #1000x #memecoin !?  🧵👇🏻",2024-07-05T23:52:00Z
How do you feel about airdrops?🤐  #crypto #Solana #memecoin #airdrop,2024-07-05T23:50:39Z
Pump fun has ruined the #memecoin market. 🤯,2024-07-05T23:50:34Z
#HAMSTERKOMBAT kode sandi untuk hari ini 06 JULI 2024 :  BURN  B: - ••• U: •• - R: •-• N: -•  Pecahkan sekarang dan Ikuti untuk kode BESOK      Selamat mengetuk dan menghasilkan uang  #tapswap #memecoin #notcoin #yescoin,2024-07-05T23:50:07Z
let's learn english with @JoeBiden  #memecoin #memecoins #Crypto #ai #DeFi #DeFiRevolution,2024-07-05T23:48:52Z
Buy DogRocket 🚀 #DOGR now! 🌕🚀  #Memecoin #Crypto @dogecoin @ShibaInuCoin @BabyDogeCoin @elonmusk,2024-07-05T23:47:56Z
"@blknoiz06 Join the alien invasion with $VENKO! Massive utilities, huge budget, and a passionate community - what more could you ask for? This project has it all, join now and be part of something big!   #VENKO $VENKO #UFO #ALIEN #100xgem #memecoin #crypto $Sol",2024-07-05T23:47:03Z
🚀 Get ready for the next x100 gem of 2024! 🌟 Dogepreneur merges the fun of memecoin philosophy with real-world assets for an explosive combo! 💥 Don't miss out on our presale at  🚀  Follow us for more updates @dogepreneur #memecoin #memecoins,2024-07-05T23:46:48Z
"#Flokita is a community-driven decentralized meme token with a dedicated team, CG/CMC application Website:  Pancakeswap:  NX93$^  #swingtrading #memecoin #nft #HBAR #money",2024-07-05T23:45:47Z
"Scientists say declining birthrates could be linked to economic uncertainty, climate anxiety & rising cost of living. 🤯  #bobcat #memecoin #scientific",2024-07-05T23:45:04Z
"$WIMPO finally getting the action it deserves!  Great project m over 30 days old, jeets long gone, and community well built! @wimposolana @CryptoDailyio #memecoin #MemeCoinMadness",2024-07-05T23:44:04Z
lets us represent you #Kanye_musk  #memecoin #Tokenomics #Crypto #ai #joke  #fajr #memecoins,2024-07-05T23:43:22Z
I just aped a a bag of $LUCY @Lucy_solana on #solanachain   Looks promising 😀 #DYOR Only way is up!  tg:  web:   #memecoin #memecoins #solana #Crypto #Bullrun2024 #memecoinonsolana #BTC,2024-07-05T23:41:38Z
Never sell your conviction memes...   They are your secret potion...  $BOBO @bobocoineth $NIHAO @nihaotoken $VARK @AardvarkCoin   #MemeCoinSeason2024 #memecoin #memecoin1000x,2024-07-05T23:41:30Z
"Hey @glbcryptoassoc, I would like to ask, what are your thoughts on $OMNOM?  - 1st #memecoin on #dogechain $DC (1st #meme chain) - 2 years old project and no team - Currently $7.7M mc - Best and most obvious beta $DOGE play  Cheers! 🫶🏼",2024-07-05T23:40:06Z
"🚀Attention, Earthlings! Alf has just landed from planet Melmac and wants us to pack our bags and join him on an intergalactic adventure!   ✅ Follow retweet and drop your SOL adress below #Memecoin #Solanameme #SolanaAirdrop #Alfcoin",2024-07-05T23:39:40Z
@iot9_ @solanaico @Sol_ICO_Stars #memecoin #memecoins,2024-07-05T23:38:56Z
@tonymoontanaeth @MrsCashOG @stekisteks @base @DaddyOnBase 💯 Hottest #memecoin on #Base will be $DADDY 🔥 @henok ❤️,2024-07-05T23:38:41Z
"@KenduInu No excuses not to load up on some home made fresh $KENDU right now.  If you think the #KenduArmy will be shaken out, boy oh boy you shall cope ya dope!  #memecoin",2024-07-05T23:38:36Z
#memecoin season is finally over.  Way too much shilling. Bag holders are wild.,2024-07-05T23:38:19Z
Cartoon Cactus is in the top 2  trending on Dexscreener! 🚀 The excitement is real. Be a part of our growth!  🌵 DexScreener:   #crypto #Solana #memecoin,2024-07-05T23:37:08Z
You’re not $Horny enough ANON  #memecoin #MattFurie #meme @HornyCTO,2024-07-05T23:36:59Z
#memecoin #Crypto #Ethereum #BRETT #pepe #Chinese,2024-07-05T23:35:43Z
@oCalebSol Look no further…. #PONK is here for your S tier bottomed out #memecoin! Viral potential off the charts!  @PonkCTO,2024-07-05T23:35:38Z
"In case anyone is wondering. Yes, we’re on #telegram too   $CRY #memecoin #Base #basechain #onchainsummer",2024-07-05T23:35:36Z
If you want to learn more about true #Web3 join the @windoge_98 OpenChat community all built on the Internet Computer    click boot desktop for real utility :D  #BTC #ETH #ICP $BASE $DOGE $SOL $PEPE $EXE #BNB #Memecoin #DFINITY #1000x,2024-07-05T23:32:43Z
Get ready for cool collaborations! 🤝 Cartoon Cactus is teaming up with some amazing partners. Stay tuned for announcements!  🌵 DexScreener:   #crypto #Solana #memecoin,2024-07-05T23:31:50Z
@Wild_FOxSol @ZoggedPepe_ #memecoin,2024-07-05T23:30:45Z
🌾Degen $DOGGS on ETH Chain🚀🚀#DYOR  📑CA: 0x658Aa86bA4baCB592663A92Ff76cb9E94D66c358 👨‍🚒Deployer: 0x0346b3dd7ee0866f1f72c594e342d1f30d194ad0  🔐Token Security: ✅ Renounced  |  ✅ Verified  |  ✅ Locked  #APE #degenETH #memecoin #GEMs,2024-07-05T23:29:51Z
$DEWY is pretty pumped. #MemeCoin  @solana,2024-07-05T23:29:19Z
Drachma Presale is Live!  You can now buy $DRH tokens and participate in the Olympian journey!  #Solana #memecoin,2024-07-05T23:27:27Z
"@smolpowell ape in bro, it's a day 3 CTO $sweeney   @sydney_sweeney @ctosweeney👱‍♀️🇺🇸 #Crypto #memecoin #Solana #Sweeney #CTO DKmyUDy8tWhSWXFtduBddULyepuSjYczkurYMMF9pump",2024-07-05T23:26:43Z
💯💯IT'S TIME FOR THE #1 #memecoin  #CHILL N #SHILL!!  Come SHill Your #MEMECOINS AND OTHER @AVAX PROJECTS!  @DEGENLABS_CO @TECHimproving @AudioForge_ @theguild_quest @vrumbleapp @avaxgohigher @Avaxsaurs @0xMoonbags @KimboAvax @CoqInuAvax @sqrcat4avax @MeowCatHQ @cryptolidscom,2024-07-05T23:25:29Z
@wolvecoin $wolve will the best #memecoin,2024-07-05T23:25:05Z
"It’s Friday, payday… Do something today, your future self will thank you for- Buy $BBM  9RfaWcvSY3FQHuU2p2vAmxeKHL4AHfiDDfgDNd9oNUEj  #Solana #memecoin #BBM #Brett #Andy #Landwolf #Pepe #BentleyBaeMeme",2024-07-05T23:24:04Z
"Huge influx of followers yesterday, but seems like they’re mainly on #SOL #BNB .   Where’s my #BASE people at?  #memecoin #CryptoTwitter",2024-07-05T23:23:33Z
BURN  B: - ••• U: •• - R: •-• N: -•  Crack it now and Follow for TOMORROW'S code   Happy tapping and making money  #tapswap #memecoin #notcoin #yescoin $BLUM #NOTNOT #Hamster #cipher  #ciphercode,2024-07-05T23:22:24Z
$OMNOM on #dogechain $DC (1st memecoin on the chain) is again among the top gainers in the #memecoin category  Probably nothing 😉    $DOGE #dogecoin #bullrun2024 #memecycle,2024-07-05T23:22:00Z
Just a duck🦆 $BUCKY (@buckyonsol)  A $TOAD 🐸 (@ToadS0L)  and a $DRAGON 🐉 (@DragonCoinSol)  #Crypto #BUCKYBILLIONS #memecoin #Solana #FOMO #YearOfTheDragon #,2024-07-05T23:22:00Z
Drachma Presale is Live!  You can now buy $DRH tokens and participate in the Olympian journey!  #Solana #memecoin,2024-07-05T23:21:58Z
Solana staying strong amidst the crash? We're excited to announce that we've chosen the Solana blockchain as the home for our mint! Proud to release another #MemeLegend @SharkCatSolana!  For the culture!🚀🔥 #Solana  #NFT #NFTart #nftcollector #NFTcommunity #SHIB #MEMECOİN,2024-07-05T23:21:34Z
Predictions UTC: $BTC 🔻$56675.50🔻-0.04% @  00:19:22 $ETH 🟢$2979.07🟢+0.00% @  00:10:33 $DOGE 🟢$0.10492🟢+0.00% @  00:13:16 $PEPE 🔻$0.00000887🔻-0.40% @  00:07:27 $SHIB 🔻$0.00001473🔻-0.22% @  00:08:26  #quant #crypto #bitcoin #ethereum #memecoin,2024-07-05T23:21:14Z
Gn all  Checkout @chadsmemecoin   Same Dev/team as $KILLA  No rugs or bulls&;t. This will be huge 🚀🚀🚀  Join TG-   #alphaalert #memecoin #nft #GN,2024-07-05T23:20:59Z
